,country,lag,vector,param,t,p,,,
0,Swaziland,4,OSX -> iOS,0.108826336,1.500525228,0.000195967,,,
0,Bhutan,5,OSX -> iOS,0.023871614,0.437249549,0.041933737,,,
0,Iraq,7,OSX -> iOS,-0.431037914,-1.496546187,2.21E-05,,,
0,Kenya,7,OSX -> iOS,-0.177759213,-4.576136907,0.000109997,,,
0,Turkmenistan,7,OSX -> iOS,1.030959823,3.289631187,7.31E-13,,,
0,Sweden,12,OSX -> iOS,0.411225771,2.078533791,0.004369539,,,
0,Iceland,13,OSX -> iOS,0.612153807,3.532262308,0.001090494,,,
0,Norway,13,OSX -> iOS,0.505823756,3.723458868,0.000386915,,,
0,Uganda,15,OSX -> iOS,0.210530538,3.418775254,0.004810499,,,
0,Northern Mariana Islands,16,OSX -> iOS,0.092957344,0.90992312,0.000506405,,,
0,Denmark,25,OSX -> iOS,0.282667267,1.442722782,0.006176825,,,
0,Nigeria,27,OSX -> iOS,0.034146654,0.428104471,0.003992304,,,
0,Zimbabwe,27,OSX -> iOS,0.192154922,1.724870191,0.000644728,,,
0,Rwanda,28,OSX -> iOS,0.162275337,1.745839719,0.007310443,,,
0,Serbia,28,OSX -> iOS,1.286619855,1.553410047,2.62E-13,,,
0,Faroe Islands,29,OSX -> iOS,0.04366088,0.125519685,0.000363192,,,
0,Sri Lanka,29,OSX -> iOS,0.389997093,1.004406986,0.000140787,,4.77907387,0.281121992
0,Ghana,11,iOS -> OSX,0.02054428,0.239490839,0,,,
0,Sweden,12,iOS -> OSX,0.078931455,0.990999418,0,,,
0,France,13,iOS -> OSX,0.073438388,0.809042967,0,,1.021254968,0.113472774
0,Bermuda,14,iOS -> OSX,0.151770833,1.942026207,0,,,
0,Singapore,20,iOS -> OSX,0.143050211,1.437233786,0,,,
0,Denmark,25,iOS -> OSX,0.033038565,0.39103176,0,,,
0,Nigeria,27,iOS -> OSX,0.248984425,1.901496622,0,,,
0,Zimbabwe,27,iOS -> OSX,0.116117682,1.502889788,0,,,
0,Sri Lanka,29,iOS -> OSX,0.155379129,1.243301454,0,,,