,country,lag,vector,param,t,p
0,Andorra,48,OSX -> iOS,-0.052798456469299704,-0.2607141705370197,0.008300590298657269
0,Australia,48,OSX -> iOS,-0.5780196869878773,-1.5091611960047842,0.043510060405391286
0,Austria,48,OSX -> iOS,-0.9818354143831578,-1.366983053732336,0.03196077270144237
0,Bahamas,44,OSX -> iOS,0.5767659628401959,1.2160532683405736,0.042640427831961966
0,Belgium,1,iOS -> OSX,-0.07294929410887868,-0.9243206814160858,0.0
0,Bermuda,48,iOS -> OSX,-0.15679862446744242,-0.7377555574577642,0.0
0,Bhutan,3,OSX -> iOS,0.0811001026157647,1.617680205362167,0.009180032750605117
0,Brunei Darussalam,2,OSX -> iOS,0.21123754252395266,2.067248785347235,0.027897001841941268
0,Burkina Faso,48,OSX -> iOS,-0.00021938550084360867,-0.0023063546284203497,0.02725184768101555
0,Central African Republic,48,iOS -> OSX,-0.12278310199343229,-2.003192039026366,0.0
0,Central African Republic,48,OSX -> iOS,-0.20953336851241433,-2.550870862031031,0.031813282268561366
0,China,48,iOS -> OSX,0.06983663585441668,0.40820960014973656,0.0
0,Comoros,48,OSX -> iOS,0.0862266982537192,0.4669330040636894,0.0007171641143315356
0,Congo,48,OSX -> iOS,0.041667481515233,0.30615175186197946,0.00042558936438875304
0,CoÌ‚te d'Ivoire,46,OSX -> iOS,-0.6969708589333136,-2.2697666020761718,0.004350672842844787
0,Denmark,48,OSX -> iOS,-0.0046881738312130605,-0.00658410877399261,0.008534756241898905
0,Egypt,48,OSX -> iOS,0.24622558893063912,0.22729562987650442,0.03679201393547062
0,Fiji,47,OSX -> iOS,0.07519654651838008,0.5084379157860709,0.011674936220114755
0,French Polynesia,48,OSX -> iOS,0.031647783230268005,0.1262611696947938,0.0015156500193011168
0,Georgia,47,iOS -> OSX,0.23489123486984007,1.0848670944583616,0.0
0,Ghana,47,OSX -> iOS,-0.08100963366847447,-0.1751039543727362,0.01638100075171506
0,Gibraltar,48,OSX -> iOS,0.04728004133821129,0.11990487831049626,0.0226931175110543
0,Greece,48,OSX -> iOS,0.5172828779247765,0.5185855213500338,0.020301464306326948
0,Guinea,47,OSX -> iOS,0.05023926046821965,0.6208419484829097,0.005589701699054185
0,India,48,iOS -> OSX,-0.1251121157808423,-0.5577030127134749,0.0
0,India,48,OSX -> iOS,-0.4593715130161141,-0.8525563598586361,0.0333285466347459
0,Ireland,48,iOS -> OSX,0.03785805410519305,0.11991782601573514,0.0
0,Isle of Man,48,OSX -> iOS,0.4584803827261137,0.5336782558765885,9.61434317438214e-06
0,Italy,48,iOS -> OSX,-0.13529621150624196,-0.8277615776614873,0.0
0,Jordan,48,iOS -> OSX,-0.4777663993183157,-1.4525732265091063,0.0
0,Kenya,48,OSX -> iOS,0.07254723962077841,0.5665382432687514,0.012945277536337474
0,Korea Democratic People's Republic of,46,iOS -> OSX,0.14213354379962018,0.9049896255548107,0.0
0,Mali,33,OSX -> iOS,-0.11843322441740214,-1.3392628473190236,0.008456625419132073
0,Malta,48,OSX -> iOS,-0.8967317121492273,-1.4013152158081208,0.044541706430578816
0,Monaco,48,OSX -> iOS,-0.2489456867781768,-0.5754082705598571,0.00010404011626338481
0,Morocco,48,OSX -> iOS,2.324859776431145,1.2729078329544066,1.996373931926595e-09
0,Mozambique,47,OSX -> iOS,-0.24133843091690813,-1.2171194314574292,0.014153616135017701
0,Niger,48,iOS -> OSX,0.07063571477478128,0.6845995204996873,0.0
0,Nigeria,48,iOS -> OSX,0.5055158273794691,1.9656135777422512,0.0
0,Nigeria,48,OSX -> iOS,-0.01727239885699565,-0.08520985815586261,0.03901540761279885
0,Oman,48,iOS -> OSX,-0.3341106390803717,-0.7548754235821001,0.0
0,Pakistan,48,OSX -> iOS,0.8467480264290466,1.5813568124928332,0.02700712754488657
0,Palau,48,OSX -> iOS,-0.5132428519763439,-1.3919535375670407,0.019406290493834705
0,Poland,48,OSX -> iOS,0.3750668364441518,0.8717839189972599,0.0002478055032541438
0,Portugal,44,OSX -> iOS,1.4170267330105661,2.9963543475475696,0.011503020386185845
0,Qatar,1,OSX -> iOS,0.2841189871754651,2.3530432784196504,0.019221588588537716
0,Romania,48,iOS -> OSX,-0.05203190896842713,-0.3690360850917692,0.0
0,Serbia,48,OSX -> iOS,-1.1233850225835527,-0.7395952622032441,7.576087340892396e-06
0,Singapore,48,OSX -> iOS,-1.8118353017997626,-1.6786763811319685,0.024809312113698426
0,Solomon Islands,48,OSX -> iOS,0.30932569803740845,2.317030050422392,0.006829726664011343
0,Sri Lanka,48,iOS -> OSX,0.26697601919793607,0.8167349279341153,0.0
0,Sri Lanka,48,OSX -> iOS,1.1645810853449703,1.0863832249157097,0.0009293844243231478
0,Sudan,48,iOS -> OSX,0.1392388120352659,1.0679329535684097,0.0
0,Sudan,48,OSX -> iOS,0.6862685183540286,1.3725361445876554,5.527910973749301e-06
0,Switzerland,48,iOS -> OSX,0.12970407625655098,0.40935593293641215,0.0
0,Taiwan Province of China,48,OSX -> iOS,-1.791819511291685,-1.3086613594906515,0.027986164513744912
0,Tanzania United Republic of,48,OSX -> iOS,0.16815288257238223,0.7383399111187747,0.012845915574908653
0,Timor-Leste,48,iOS -> OSX,0.18622144006389074,1.30628640838447,0.0
0,Timor-Leste,48,OSX -> iOS,0.06801403466807193,0.4586305882905064,0.0047364819983317106
0,Tonga,48,iOS -> OSX,0.0331329502320693,0.5078091136247275,0.0
0,Trinidad and Tobago,48,OSX -> iOS,-1.26393762617627,-1.1749380646536618,0.004421872201567485
0,Turkmenistan,48,OSX -> iOS,0.16110609894586891,0.24193489986750213,0.023236949652845562
0,Uganda,47,OSX -> iOS,-0.2713118997163428,-1.3411594820259565,0.01703920583989227
0,Uzbekistan,48,iOS -> OSX,-0.20894977563782824,-0.41130431674487794,0.0
0,Virgin Islands U.S,48,OSX -> iOS,-0.3650791854447635,-0.5841034032871819,0.040719410718445634
0,Zambia,47,OSX -> iOS,0.10906609139981277,0.8402913208374824,0.01773891912382826
