,sortname,Android,iOS,country,year,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,Windows,store
11,Afghanistan2020,90.645,8.955833333,Afghanistan,2020,AFG,20116137326,38928341,652230,41.82260145,10.25386047,55.52832889,9,516.7478708,2.714118322,7.590265907,0.007216159,0.089917253,0,Afghanistan,0,2,4,2,0,Afghanistan,5.321666667,90.25,0
25,Albania2020,63.78333333,35.71416667,Albania,2020,ALB,15131866271,2837849,27400,17.23585785,12.06999969,68.05956084,9,5332.160475,3.726984652,6.452989436,0.004173086,0.358945367,1,Albania,0,1,2,3,0,Albania,7.129166667,88.16833333,0
39,Algeria2020,95.80416667,3.855833333,Algeria,2020,DZA,1.45009E+11,43851043,2381741,30.78351567,16.54919052,62.47355707,10,3306.858208,3.519546885,7.641979937,0.022970119,0.038689879,2,Algeria,0,1,3,1,0,Algeria,4.585,84.55833333,0
53,American Samoa2020,66.28333333,33.58666667,American Samoa,2020,ASM,709000000,55197,200,,,,,12844.90099,4.10876457,4.741923342,0.001570772,0.336303862,3,American Samoa,1,2,1,5,0,American-Samoa,26.96166667,55.06,0
67,Andorra2020,66.55916667,33.18333333,Andorra,2020,AND,2891001149,77265,470,,,,10,37416.69772,4.573077062,4.88798843,0.002633794,0.33269001,4,Andorra,0,1,4,2,0,Andorra,36.85416667,61.19083333,0
81,Angola2020,83.98333333,13.92583333,Angola,2020,AGO,53619071176,32866268,1246700,46.39536239,6.467226505,51.41317518,6,1631.431691,3.212835017,7.516750405,0.016169115,0.142232171,5,Angola,0,1,5,3,0,Angola,12.84666667,79.51,0
95,Antigua and Barbuda2020,78,21.41916667,Antigua and Barbuda,2020,ATG,1370281481,97928,440,21.85052436,8.94178009,68.8172043,11,13992.74448,4.14593394,4.99091132,0.001946957,0.215443032,6,Antigua and Barbuda,1,1,1,7,0,Antigua-and-Barbuda,20.7325,69.5475,0
109,Argentina2020,91.90083333,7.719166667,Argentina,2020,ARG,3.89591E+11,45376763,2736690,24.43531114,,64.19817702,14,8585.694742,3.933826024,7.656833521,0.025433015,0.077486114,7,Argentina,0,1,2,3,0,Argentina,8.918333333,87.47416667,0
123,Armenia2020,73.51083333,26.0625,Armenia,2020,ARM,12641209802,2963234,28470,20.83234483,8.82777977,67.36477569,12,4266.018074,3.630124482,6.471766095,0.004152674,0.261741765,8,Armenia,1,1,1,1,0,Armenia,5.375,93.19916667,0
137,Aruba2020,73.82833333,25.89,Aruba,2020,ABW,2496648045,106766,180,17.38193807,,68.01228856,13,23384.29879,4.368942923,5.02843704,0.000731574,0.259631295,9,Aruba,1,2,4,1,0,Aruba,20.34583333,74.43666667,0
151,Australia2020,46.28,53.36583333,Australia,2020,AUS,1.32784E+12,25693267,7692020,19.29242502,,64.49451692,10,51680.31652,4.713333568,7.409819347,0.113735784,0.535555091,10,Australia,1,1,1,2,29.6,Australia,31.76583333,64.88833333,1
165,Austria2020,67.65166667,31.73583333,Austria,2020,AUT,4.33258E+11,8916864,82520,14.41217677,,66.38381959,13,48588.65938,4.686543855,6.950212192,0.004000641,0.319314132,11,Austria,0,1,1,2,0,Austria,20.55,76.45333333,1
179,Azerbaijan2020,85.47166667,13.74083333,Azerbaijan,2020,AZE,42693000000,10093121,82646,23.51529123,10.5025301,69.74308664,10,4229.910649,3.626433854,7.004025523,0.003541674,0.138499013,12,Azerbaijan,0,1,1,1,0,Azerbaijan,9.010833333,86.76083333,0
193,Bahamas2020,68.86666667,31.0125,Bahamas,2020,BHS,,,,,,,,,,,,0.310500188,13,Bahamas,1,1,1,5,0,The-Bahamas,23.92833333,65.7825,
207,Bahrain2020,72.39,27.44916667,Bahrain,2020,BHR,34723357447,1701583,785,18.28235605,,79.06645314,9,20406.50233,4.309789855,6.230853393,0.000200309,0.274933852,14,Bahrain,1,1,3,2,0,Bahrain,28.82916667,68.62166667,
221,Bangladesh2020,95.7525,2.7625,Bangladesh,2020,BGD,3.73902E+11,164689383,130170,26.75454131,11.8447504,68.01845508,5,2270.347535,3.35628359,8.216665605,0.000343129,0.028041415,15,Bangladesh,0,1,1,2,0,Bangladesh,2.6075,86.42666667,
235,Barbados2020,76.51916667,22.95,Barbados,2020,BRB,4689534962,287371,430,16.76033058,11.49349022,66.53745107,11,16318.74811,4.212713451,5.458444451,0.000649359,0.230724764,16,Barbados,1,1,1,3,0,Barbados,21.3975,73.68083333,
249,Belarus2020,84.96833333,14.525,Belarus,2020,BLR,61489588895,9379952,202980,17.2403568,12.78114986,67.17944767,9,6555.426818,3.816667218,6.972200662,0.00929779,0.145989681,17,Belarus,0,2,1,2,41.1,Belarus,11.3475,85.75583333,
263,Belgium2020,63.9625,35.68333333,Belgium,2020,BEL,5.21677E+11,11544241,30280,17.03397082,,63.71179632,12,45189.3669,4.655045867,7.062365422,0.001137643,0.35810161,18,Belgium,0,3,1,1,31,Belgium,23.32,73.985,1
277,Belize2020,78.51666667,21.0325,Belize,2020,BLZ,1585631670,397621,22810,29.19940246,21.52098083,65.79214743,8,3987.796596,3.600841891,5.599470405,0.024225418,0.211277509,19,Belize,0,2,4,5,15.6,Belize,14.73166667,77.52333333,
291,Benin2020,86.80583333,6.968333333,Benin,2020,BEN,15651545332,12123198,112760,41.94457734,,54.77695658,6,1291.040972,3.111276286,7.083617234,0.004020779,0.074309733,20,Benin,0,1,5,6,5.8,Benin,10.47083333,80.1875,
305,Bermuda2020,45.56416667,54.0225,Bermuda,2020,BMU,6881662000,63893,54,,,,13,107706.0398,5.03224409,4.805460077,0.000366895,0.542467198,21,Bermuda,1,2,3,6,17.8,Bermuda,30.36916667,68.27333333,
319,Bhutan2020,87.61333333,12.23333333,Bhutan,2020,BTN,2315436303,771612,38140,24.89450602,15.78534031,68.900789,,3000.777986,3.477378568,5.887399536,0.020953056,0.122521199,22,Bhutan,0,1,3,2,0,Bhutan,9.0375,83.39083333,
333,"Bolivia, Plurinational State of2020",94.4925,5.065833333,"Bolivia, Plurinational State of",2020,BOL,,,,,,,,,,,,0.050883067,23,"Bolivia, Plurinational State of",0,1,3,4,5.5,Bolivia,13.52,83.08583333,
347,Bosnia and Herzegovina2020,91.33416667,8.479166667,Bosnia and Herzegovina,2020,BIH,19955120005,3280815,51200,14.52247137,,67.56175821,9,6082.36673,3.784143998,6.515981874,0.006725206,0.08495024,24,Bosnia and Herzegovina,0,3,3,3,0,Bosnia-and-Herzegovina,5.12,87.04583333,
361,Botswana2020,88.535,10.7125,Botswana,2020,BWA,14930072799,2351625,566730,33.40372432,,62.08408051,,6348.832318,3.802762257,6.371368253,0.093770052,0.107937228,25,Botswana,0,2,2,1,11.1,Botswana,12.53416667,82.37916667,
375,Brazil2020,86.21666667,13.525,Brazil,2020,BRA,1.44857E+12,212559409,8358140,20.70919916,,69.69852622,14,6814.875632,3.833521657,8.327480336,0.016749882,0.135600301,26,Brazil,0,1,3,2,0,Brazil,8.805,89.01166667,1
389,Brunei Darussalam2020,75.09083333,24.22166667,Brunei Darussalam,2020,BRN,12005825770,437483,5270,22.32404298,,72.10586108,9,27442.95383,4.43844668,5.640962174,0.005200331,0.243893434,27,Brunei Darussalam,1,2,2,3,0,Brunei,20.99,75.19666667,
403,Bulgaria2020,86.48916667,13.10416667,Bulgaria,2020,BGR,69889347433,6934015,108560,14.67947145,,63.85260299,11,10079.20338,4.003469295,6.840984839,0.006746704,0.131576745,28,Bulgaria,0,1,3,2,0,Bulgaria,4.9025,90.55333333,
417,Burkina Faso2020,87.99833333,5.565833333,Burkina Faso,2020,BFA,17933606353,20903278,273600,44.37030029,,53.21867059,10,857.9327297,2.933959152,7.320214417,0.005647538,0.059486805,29,Burkina Faso,0,1,3,4,0,Burkina-Faso,12.91666667,75.59416667,
431,Burundi2020,79.58166667,4.480833333,Burundi,2020,BDI,2780510625,11890781,25680,45.25191947,20.7419529,52.36794311,,233.8375103,2.370767467,7.075210417,0.000936915,0.053303594,30,Burundi,0,3,2,3,0,Burundi,10.9075,80.3925,
445,Cambodia2020,59.08,40.4175,Cambodia,2020,KHM,25872798012,16718971,176520,30.92495259,,64.22219916,,1547.511388,3.189914403,7.22320957,0.004561273,0.406216237,31,Cambodia,0,1,1,1,0,Cambodia,15.46166667,82.12666667,
459,Cameroon2020,87.95,6.381666667,Cameroon,2020,CMR,40804449726,26545864,472710,42.0639329,14.38990593,55.21991129,6,1537.130218,3.186993104,7.423996881,0.007665559,0.067651372,32,Cameroon,0,2,5,4,8.8,Cameroon,6.925833333,77.9175,
473,Canada2020,48.6525,50.98083333,Canada,2020,CAN,1.64542E+12,38037204,8965590,15.77525226,,66.12038624,10,43258.26387,4.636079125,7.580208597,0.091915089,0.51168451,33,Canada,0,2,4,3,6.5,Canada,25.87083333,69.61833333,1
487,Cape Verde2020,87.71166667,11.77833333,Cape Verde,2020,CPV,,,,,,,,,,,,0.118387108,34,Cape Verde,1,2,1,1,10.8,Cabo-Verde,19.12,74.12166667,
501,Cayman Islands2020,48.4225,51.26833333,Cayman Islands,2020,CYM,5608989196,65720,240,,,,12,85346.76195,4.931192137,4.817704163,0.001583092,0.514273295,35,Cayman Islands,1,1,2,1,0,,30.03416667,67.5375,
515,Central African Republic2020,89.50083333,4.745833333,Central African Republic,2020,CAF,2326720921,4829764,622980,43.54172779,9.782443047,53.66014551,10,481.7462966,2.683718951,6.683926,0.052689198,0.05035545,36,Central African Republic,0,2,5,4,0,Central-African-Republic,3.336666667,74.92,
529,Chad2020,89.7575,7.704166667,Chad,2020,TCD,10715396135,16425859,1259200,46.49029725,11.67150974,51.01112489,10,652.3492096,2.81514537,7.215528117,0.032078423,0.079048173,37,Chad,0,2,4,3,0,Chad,9.0825,83.5925,
543,Chile2020,85.3775,14.26833333,Chile,2020,CHL,2.52727E+11,19116209,743532,19.23872845,,68.51861413,12,13220.57076,4.121283054,7.281401793,0.01657181,0.143190466,38,Chile,0,1,2,3,0,Chile,24.16333333,73.18,
557,China2020,80.50083333,18.5425,China,2020,CHN,1.46877E+13,1411100000,9424702.9,17.71181539,10.52999973,70.31991341,9,10408.66976,4.017436952,9.149557792,0.002890999,0.187216033,39,China,0,1,2,3,52.2,China,7.693333333,87.04166667,1
571,Colombia2020,88.78833333,10.5625,Colombia,2020,COL,2.703E+11,50882884,1109500,22.18357051,14.74662971,68.75586727,12,5312.198556,3.725356046,7.706571727,0.009368013,0.106315163,40,Colombia,0,1,3,3,8,Colombia,17.9225,79.63916667,
585,Comoros2020,93.65416667,5.681666667,Comoros,2020,COM,1223876065,869595,1861,39.01984933,,57.87435847,6,1407.40927,3.148728875,5.939317533,0.00092843,0.057196547,41,Comoros,1,3,1,1,0,Comoros,8.078333333,78.7975,
613,Congo2020,76.595,7.416666667,Congo,2020,COG,,,,,,,,,,,,0.088281389,42,"Congo, the Democratic Republic of the",0,1,6,5,0,Democratic-Republic-of-the-Congo,9.028333333,79.765,
599,"Congo, the Democratic Republic of the2020",88.8275,8.308333333,"Congo, the Democratic Republic of the",2020,COD,,,,,,,,,,,,0.085533145,43,Congo,0,1,5,3,11.3,Republic-of-the-Congo,14.00583333,74.32,
627,Costa Rica2020,80.865,18.85833333,Costa Rica,2020,CRI,62158002233,5094114,51060,20.82802165,21.53948021,68.9188786,13,12201.92603,4.086463979,6.707068745,0.004331407,0.189106528,44,Costa Rica,0,1,2,3,10,Costa-Rica,31.25916667,65.69833333,
641,Côte d'Ivoire2020,81.6375,15.03416667,Côte d'Ivoire,2020,CIV,,,,,,,,,,,,0.155517818,45,Côte d'Ivoire,0,1,5,3,19.2,Cote-dIvoire,17.82916667,76.53,
655,Croatia2020,88.13916667,11.52333333,Croatia,2020,HRV,57203783203,4047680,55960,14.54156331,,64.20620145,8,14132.48656,4.15024931,6.607206278,0.005963084,0.115623563,46,Croatia,0,2,1,1,0,Croatia,7.9975,85.03,
669,Cuba2020,88.55833333,11.2475,Cuba,2020,CUB,1.07352E+11,11326616,103800,15.9207216,,68.18586416,9,9477.852873,3.976755782,7.054100215,0.003961859,0.112693814,47,Cuba,1,1,3,2,23,Cuba,2.015833333,88.9225,
683,Cyprus2020,77.4,22.3725,Cyprus,2020,CYP,24692095945,1207361,9240,16.57717381,,69.01402151,10,20451.29497,4.310742048,6.081837503,0.003311026,0.224235135,48,Cyprus,1,2,2,1,0,Cyprus,15.95416667,77.24333333,
697,Czech Republic2020,78.82166667,20.7925,Czech Republic,2020,CZE,,,,,,,,,,,,0.208730351,49,Czech Republic,0,1,2,1,89.2,Czech-Republic,10.28,85.28666667,
711,Denmark2020,44.79916667,55.02083333,Denmark,2020,DNK,3.56085E+11,5831404,40000,16.28173534,,63.55427521,10,61063.31643,4.7857875,6.765773205,0.002968834,0.551200494,50,Denmark,0,1,1,1,0,Denmark,34.16166667,61.82583333,
725,Djibouti2020,89.92166667,9.8225,Djibouti,2020,DJI,3181071154,988002,23180,28.91224696,,66.3812753,10,3219.701128,3.507950425,5.994758263,0.010071506,0.098476937,51,Djibouti,0,2,3,1,0,Djibouti,7.695,88.945,
739,Dominica2020,86.87,12.8725,Dominica,2020,DMA,504214814.8,71991,750,,10.66617012,,12,7003.859021,3.845399399,4.857284239,0.004501061,0.129057323,52,Dominica,1,1,2,2,6,Dominica,12.6225,74.92083333,
753,Dominican Republic2020,74.91666667,24.81166667,Dominican Republic,2020,DOM,78844702329,10847904,48310,27.43934085,19.32287979,65.03296027,15,7268.19691,3.861486433,7.035345873,0.001929791,0.248792553,53,Dominican Republic,1,1,3,1,0,Dominican-Republic,21.28833333,74.83916667,
767,Ecuador2020,87.3075,11.96916667,Ecuador,2020,ECU,99291124000,17643060,248360,27.39192432,11.51441956,65.01698062,15,5627.77228,3.750413679,7.246573936,0.0060709,0.120563744,54,Ecuador,0,1,4,3,6.5,Ecuador,22.31416667,75.36,
781,Egypt2020,88.1625,11.59,Egypt,2020,EGY,,,,,,,,,,,,0.116187564,55,Egypt,0,1,1,2,0,Egypt,7.505,89.77583333,
795,El Salvador2020,89.46916667,10.20583333,El Salvador,2020,SLV,24638720000,6486201,20720,26.59058725,13.09288979,64.75846816,15,3798.636521,3.579742053,6.81199047,0.001385131,0.102391104,56,El Salvador,0,1,2,2,12,El-Salvador,15.97416667,77.71,
809,Equatorial Guinea2020,86.7,12.495,Equatorial Guinea,2020,GNQ,10099157270,1402985,28050,36.7792243,,60.83935324,6,7198.335884,3.857292436,6.147053337,0.008597228,0.12596401,57,Equatorial Guinea,0,3,3,1,0,Equatorial-Guinea,9.450833333,85.01833333,
823,Eritrea2020,90.99583333,5.616666667,Eritrea,2020,ERI,,,121040.829,,,,8,,,,,0.058136024,58,Eritrea,0,2,2,3,0,Eritrea,1.435,91.4675,
837,Estonia2020,67.855,31.39833333,Estonia,2020,EST,30650285472,1329479,42750,16.49817004,,63.12860196,9,23054.35849,4.36277188,6.123681808,0.013745111,0.316345379,59,Estonia,0,1,2,4,0,Estonia,15.14583333,80.6175,
851,Ethiopia2020,88.26416667,5.171666667,Ethiopia,2020,ETH,1.07658E+11,114963583,1128571.265,39.91763636,,56.54546986,8,936.4507576,2.971948464,8.060560295,0.00424258,0.055349928,60,Ethiopia,0,1,4,3,0,Ethiopia,4.68,90.25416667,
865,Faroe Islands2020,40.25416667,59.58583333,Faroe Islands,2020,FRO,3240759989,48865,1366,,,,9,66320.6792,4.821655514,4.689006791,0.011973921,0.596813235,61,Faroe Islands,1,2,2,1,4,Faroe-Islands-Athlantic-Ocean,27.3175,71.12333333,
879,Fiji2020,92.7225,7.138333333,Fiji,2020,FJI,4574413823,896444,18270,29.01126115,16.39175034,65.17131559,,5102.843929,3.707897386,5.952523649,0.008762161,0.071482814,62,Fiji,1,3,2,5,16.4,Fiji-republic-Pacific-Ocean,13.02583333,81.85,
893,Finland2020,71.64333333,28.01166667,Finland,2020,FIN,2.71837E+11,5529543,303940,15.86512222,,61.58039027,10,49160.83715,4.691628104,6.742689318,0.023238697,0.281086415,63,Finland,0,2,3,2,0,Finland,16.88833333,77.24583333,
907,France2020,70.62666667,29.025,France,2020,FRA,2.63032E+12,67379908,547557,17.65365586,,61.59288873,13,39037.12263,4.591488924,7.82853042,0.003514994,0.291264572,64,France,0,1,1,2,25.5,France,23.0925,72.83833333,1
921,French Polynesia2020,71.5475,28.31833333,French Polynesia,2020,PYF,5669368717,280904,3471,22.22329019,,68.70826036,,20182.5845,4.304998297,5.44855947,0.005333491,0.283563781,65,French Polynesia,1,2,5,5,0,French-Polynesia,36.53083333,60.00083333,
935,Gabon2020,90.89083333,7.764166667,Gabon,2020,GAB,15316824039,2225728,257670,37.26388688,15.02551937,59.2072997,10,6881.714225,3.837759738,6.347472284,0.047574238,0.078700184,66,Gabon,0,1,4,4,5.6,Gabon,19.5175,74.975,
949,Gambia2020,82.10166667,16.58083333,Gambia,2020,GMB,,,,,,,,,,,,0.168022023,67,Gambia,0,1,5,1,0,The-Gambia,10.05083333,81.04583333,
963,Georgia2020,77.78833333,20.97916667,Georgia,2020,GEO,15842922533,3722716,69490,20.22041193,11.17018986,64.52627829,9,4255.742993,3.62907743,6.570860023,0.008032015,0.212409615,68,Georgia,0,1,2,2,0,Georgia,6.081666667,91.57333333,
977,Germany2020,69.08083333,30.27666667,Germany,2020,DEU,3.84641E+12,83160871,349390,13.95559545,,64.35695518,13,46252.6893,4.665146379,7.919919035,0.001820812,0.304724522,69,Germany,0,1,1,2,37.7,Germany,17.78166667,77.44916667,1
991,Ghana2020,84.66666667,12.82083333,Ghana,2020,GHA,70043199814,31072945,227533,37.13115656,,59.72849367,11,2254.153889,3.353176183,7.49238243,0.003168554,0.131512587,70,Ghana,0,1,5,5,5.2,Ghana,10.70083333,76.59333333,
1005,Gibraltar2020,49.64833333,50.02083333,Gibraltar,2020,GIB,,33691,10,,,,10,,,4.527526792,0.000128886,0.501868682,71,Gibraltar,0,1,2,2,7.2,Gibraltar,30.40333333,67.83083333,
1019,Greece2020,84.58583333,13.24833333,Greece,2020,GRC,1.88835E+11,10700556,128900,13.65592081,,64.05968922,10,17647.23269,4.246701221,7.029406385,0.005200297,0.135416223,72,Greece,0,1,1,1,0,Greece,5.640833333,87.0375,
1033,Greenland2020,56.34083333,43.4725,Greenland,2020,GRL,3075968329,56367,410450,,,,10,54570.37502,4.736964897,4.751032626,0.918121742,0.435538004,73,Greenland,1,1,2,2,0,,36.17666667,62.14,
1047,Grenada2020,85.475,14.22333333,Grenada,2020,GRD,1043411111,112519,340,23.77647237,,66.43086302,12,9273.199292,3.967276424,5.051229723,0.001310334,0.142663702,74,Grenada,1,1,2,2,5.7,Grenada,14.48,75.07083333,
1061,Guam2020,50.4075,49.30833333,Guam,2020,GUM,5844000000,168783,540,23.86016886,,65.60568805,0,34624.34013,4.539394048,5.227331275,0.001387253,0.494488505,75,Guam,1,2,4,2,16,,32.7625,61.66833333,
1075,Guatemala2020,87.475,12.30833333,Guatemala,2020,GTM,77604632621,16858333,107160,33.34243157,21.1411705,61.61552902,16,4603.339643,3.663167352,7.226814654,0.002751856,0.123350593,76,Guatemala,0,1,6,2,0,Guatemala,22.975,72.26666667,
1103,Guinea2020,75.92416667,6.198333333,Guinea,2020,GIN,14169626010,13132792,245720,43.04895493,14.29006004,53.99872609,6,1078.950006,3.033403651,7.118357099,0.008050747,0.075476676,77,Guinea-Bissau,0,1,5,3,0,Guinea-Bissau,9.548333333,72.3225,
1089,Guinea-Bissau2020,92.12916667,4.195833333,Guinea-Bissau,2020,GNB,1431758243,1967998,28120,41.92721447,,55.18701464,9,727.5201717,2.862441581,6.294024873,0.006161558,0.043559131,78,Guinea,0,1,4,2,0,Guinea,14.38,73.33666667,
1117,Guyana2020,84.91083333,14.43583333,Guyana,2020,GUY,5471256595,786559,196850,27.73192364,,65.26853914,6,6955.939217,3.842418209,5.895731857,0.097002874,0.145307677,79,Guyana,0,1,4,6,0,Guyana,8.693333333,79.16166667,
1131,Haiti2020,90.11666667,9.720833333,Haiti,2020,HTI,14508218017,11402533,27560,32.47389526,,62.35143645,6,1272.367992,3.104953929,7.057001376,0.001048426,0.097366554,80,Haiti,1,2,2,3,10.2,Haiti,21.52333333,68.1625,
1145,Honduras2020,84.25916667,15.28416667,Honduras,2020,HND,23827840810,9904608,111890,30.58817982,24.25477028,64.43861932,12,2405.732848,3.381427885,6.995837336,0.004878617,0.153542846,81,Honduras,0,1,2,2,0,Honduras,18.24416667,76.22333333,
1159,Hong Kong2020,53.30083333,45.22416667,Hong Kong,2020,HKG,,,,,,,,,,,,0.459012095,82,Hong Kong,0,2,1,3,54,,29.56083333,65.79666667,1
1173,Hungary2020,79.70083333,19.30666667,Hungary,2020,HUN,1.56743E+11,9750149,91260,14.40865865,,65.4282334,13,16075.97327,4.20620429,6.989011297,0.004046029,0.195002062,83,Hungary,0,1,1,2,0,Hungary,6.266666667,89.825,
1187,Iceland2020,52.55333333,47.30166667,Iceland,2020,ISL,21718075725,366463,100830,19.42428123,,64.95371334,10,59264.03409,4.772798539,5.564031318,0.105559143,0.473703537,84,Iceland,1,1,1,1,6.1,Iceland,28.73083333,67.96333333,
1201,India2020,95.23666667,3.224166667,India,2020,IND,2.66769E+12,1380004385,2973190,26.16061144,16.54015923,67.26549988,8,1933.101069,3.286479165,9.139880467,0.000934672,0.032745677,85,India,0,23,23,2,0,India,6.844166667,83.28583333,
1215,Indonesia2020,92.15666667,7.604166667,Indonesia,2020,IDN,1.05869E+12,273523621,1877519,25.93600629,19.15280151,67.80148032,9,3870.55762,3.587885727,8.436994839,0.002970896,0.076223969,86,Indonesia,1,1,2,1,0,Indonesia,9.215,84.5275,
1229,Iran Islamic Republic of2020,89.89083333,9.830833333,Iran Islamic Republic of,2020,IRN,,,,,,,,,,,,0.098582722,87,Iran Islamic Republic of,0,3,1,1,0,Iran,2.308333333,95.62166667,
1243,Iraq2020,81.93416667,17.92166667,Iraq,2020,IRQ,1.8437E+11,40222503,434128,37.71374639,,58.8435232,6,4583.747494,3.661315422,7.604469104,0.004662295,0.17947541,88,Iraq,0,2,3,1,0,Iraq,8.800833333,87.63666667,
1257,Ireland2020,58.07166667,41.65083333,Ireland,2020,IRL,4.25889E+11,4985674,68890,20.83227179,,64.58977769,10,85422.54287,4.931577579,6.697723965,0.005959822,0.41766736,89,Ireland,1,2,2,2,0,Ireland,24.40333333,68.51416667,
1271,Isle of Man2020,42.40333333,56.54166667,Isle of Man,2020,IMN,,85032,570,,,,,,,4.929587501,0.002901518,0.571445416,90,Isle of Man,1,2,1,3,41,,26.41666667,68.405,
1285,Israel2020,77.12166667,22.72,Israel,2020,ISR,4.07101E+11,9215100,21640,27.82847045,,59.75718428,15,44177.57122,4.645211666,6.9645001,0.001018667,0.227560304,91,Israel,0,2,2,2,0,Israel,12.84333333,84.275,
1299,Italy2020,74.5125,25.14333333,Italy,2020,ITA,1.89257E+12,59449527,295717,12.98729053,,63.71081647,12,31834.97262,4.502918123,7.774148411,0.002154936,0.252301672,92,Italy,0,1,1,2,14,Italy,25.345,71.395,1
1313,Jamaica2020,77.5425,22.20416667,Jamaica,2020,JAM,13812425037,2961161,10830,23.35815575,,67.56407187,6,4664.530242,3.668901009,6.471462168,0.001585469,0.222605601,93,Jamaica,1,1,2,5,21.3,Jamaica,16.32416667,70.71916667,
1327,Japan2020,36.28916667,63.53666667,Japan,2020,JPN,5.04011E+12,126261000,364500,12.44855673,,59.1541702,9,39918.16756,4.601181476,8.101269228,0.001251949,0.636475194,94,Japan,1,1,1,2,63,Japan,21.9825,66.99833333,1
1341,Jordan2020,84.79833333,15.075,Jordan,2020,JOR,43697659296,10203140,88794,32.85384667,,63.19245636,10,4282.765825,3.631825722,7.008733888,0.003763147,0.150941192,95,Jordan,0,1,4,1,0,Jordan,15.06,82.11,
1355,Kazakhstan2020,79.03416667,20.64833333,Kazakhstan,2020,KAZ,1.71082E+11,18755666,2699700,29.14417315,,62.95302472,9,9121.637138,3.960120401,7.273132513,0.058403437,0.207141006,96,Kazakhstan,0,2,2,2,0,Kazakhstan,7.604166667,90.86416667,
1369,Kenya2020,88.3175,4.558333333,Kenya,2020,KEN,1.00667E+11,53771300,569140,38.58960364,,58.90121004,12,1872.124026,3.272566535,7.730550544,0.004572614,0.049079865,97,Kenya,0,2,8,4,0,Kenya,10.93666667,76.725,
1383,Kiribati2020,90.5275,9.384166667,Kiribati,2020,KIR,180911843.6,119446,810,35.91658365,20.1776104,59.86822828,9,1514.591059,3.180582035,5.077175247,0.002935143,0.093924633,98,Kiribati,1,2,2,3,0,Kiribati,13.95916667,75.8325,
1397,Korea Democratic People's Republic of2020,82.16,17.84,Korea Democratic People's Republic of,2020,PRK,,,,,,,,,,,,0.1784,99,Korea Democratic People's Republic of,0,1,1,3,0,North-Korea,4.480833333,93.235,
1411,Korea Republic of2020,75.90333333,23.97916667,Korea Republic of,2020,KOR,,,,,,,,,,,,0.240073753,100,Korea Republic of,0,1,1,3,56,,7.809166667,89.69333333,1
1425,Kuwait2020,63.36166667,36.40666667,Kuwait,2020,KWT,1.0596E+11,4270563,17820,21.46221196,11.91267014,75.50198791,9,24811.76971,4.394675245,6.630485235,0.001808433,0.364912046,101,Kuwait,0,1,3,2,6,Kuwait,28.34666667,68.70833333,
1439,Lao People's Democratic Republic2020,77.29583333,21.825,Lao People's Democratic Republic,2020,LAO,,,,,,,,,,,,0.2201858,102,Lao People's Democratic Republic,0,1,3,3,0,Laos,10.8175,82.73,
1453,Latvia2020,74.51583333,25.13833333,Latvia,2020,LVA,33645460617,1900449,62230,16.4321031,,62.88051413,11,17703.95344,4.248094789,6.278856448,0.013993056,0.252255718,103,Latvia,0,1,2,4,26,Latvia,13.00083333,83.285,
1467,Lebanon2020,80.68083333,19.16916667,Lebanon,2020,LBN,25948915861,6825442,10230,25.06879771,9.89828968,67.38215604,10,3801.792743,3.580102656,6.834130844,0.000650435,0.191979636,104,Lebanon,0,1,4,6,0,Lebanon,21.605,77.1825,
