,0,1,2,3,*,**,***,,,,,,,,
0,Aruba,28,OSX -> iOS,0.001162201,TRUE,TRUE,FALSE,,,,,,,,
0,Bhutan,3,OSX -> iOS,0.009180033,TRUE,TRUE,FALSE,,,,,,,,
0,Brunei Darussalam,2,OSX -> iOS,0.027897002,TRUE,FALSE,FALSE,,,,,,,,
0,Congo,14,OSX -> iOS,0.049252038,TRUE,FALSE,FALSE,,,,,,,,
0,Egypt,31,OSX -> iOS,0.009369213,TRUE,TRUE,FALSE,,,,,,,,
0,Faroe Islands,31,OSX -> iOS,0.000217304,TRUE,TRUE,TRUE,,,,,,,,
0,Iceland,14,OSX -> iOS,0.001297044,TRUE,TRUE,FALSE,,,,,,,,
0,India,36,OSX -> iOS,0.037324171,TRUE,FALSE,FALSE,,,,,,,,
0,Indonesia,1,OSX -> iOS,0.002211259,TRUE,TRUE,FALSE,,,,,,,,
0,Isle of Man,35,OSX -> iOS,1.22E-07,TRUE,TRUE,TRUE,,,,,,,,
0,Italy,1,OSX -> iOS,0.0489933,TRUE,FALSE,FALSE,,,,,,,,
0,Kuwait,1,OSX -> iOS,0.021908829,TRUE,FALSE,FALSE,,,,,,,,
0,Liberia,31,OSX -> iOS,0.015728446,TRUE,FALSE,FALSE,,,,,,,,
0,Malaysia,1,OSX -> iOS,0.001390882,TRUE,TRUE,FALSE,,,,,,,,
0,Netherlands,34,OSX -> iOS,4.65E-05,TRUE,TRUE,TRUE,,,,,,,,
0,Northern Mariana Islands,8,OSX -> iOS,0.004690394,TRUE,TRUE,FALSE,,,,,,,,
0,Norway,13,OSX -> iOS,0.000386915,TRUE,TRUE,TRUE,,,,,,,,
0,Poland,32,OSX -> iOS,1.04E-05,TRUE,TRUE,TRUE,,,,,,,,
0,Qatar,1,OSX -> iOS,0.019221589,TRUE,FALSE,FALSE,,,,,,,,
0,Saudi Arabia,1,OSX -> iOS,0.003281759,TRUE,TRUE,FALSE,,,,,,,,
0,Serbia,30,OSX -> iOS,2.63E-12,TRUE,TRUE,TRUE,,,,,,,,
0,Swaziland,4,OSX -> iOS,0.000195967,TRUE,TRUE,TRUE,,,,,,,,
0,Trinidad and Tobago,36,OSX -> iOS,6.58E-05,TRUE,TRUE,TRUE,,,,,,,,
0,Turkmenistan,7,OSX -> iOS,7.31E-13,TRUE,TRUE,TRUE,,,,,,,,
0,Tuvalu,10,OSX -> iOS,0.015923243,TRUE,FALSE,FALSE,,,,,,,,
0,Uganda,15,OSX -> iOS,0.004810499,TRUE,TRUE,FALSE,,,,,,,,
0,Zimbabwe,32,OSX -> iOS,0.000678285,TRUE,TRUE,TRUE,,,,,,,,
0,Azerbaijan,1,iOS -> OSX,0.024866298,TRUE,FALSE,FALSE,,,,,,,,
0,Belgium,1,iOS -> OSX,0.011000947,TRUE,FALSE,FALSE,,,,,,,,
0,Bermuda,14,iOS -> OSX,0.001205967,TRUE,TRUE,FALSE,,,,,,,,
0,Central African Republic,35,iOS -> OSX,3.39E-07,TRUE,TRUE,TRUE,,,,,,,,
0,France,13,iOS -> OSX,0.000348084,TRUE,TRUE,TRUE,,,,,,,,
0,Ghana,11,iOS -> OSX,0.000480247,TRUE,TRUE,TRUE,,,,,,,,
0,Jordan,34,iOS -> OSX,0.000238732,TRUE,TRUE,TRUE,,,,,,,,
0,Korea Democratic People's Republic of,14,iOS -> OSX,3.46E-05,TRUE,TRUE,TRUE,,,,,,,,
0,Libya,36,iOS -> OSX,0.02969863,TRUE,FALSE,FALSE,,,,,,,,
0,Lithuania,1,iOS -> OSX,0.027461546,TRUE,FALSE,FALSE,,,,,,,,
0,Luxembourg,4,iOS -> OSX,0.003506189,TRUE,TRUE,FALSE,,,,,,,,
0,Portugal,1,iOS -> OSX,0.013916111,TRUE,FALSE,FALSE,,,,,,,,
0,Singapore,20,iOS -> OSX,5.65E-06,TRUE,TRUE,TRUE,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,